date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
2003,,12.2907782394128,59622958483.5994,23.0319014300881,84715677624.95,THA
2002,,,52932969649.039,21.9115852147245,74748475911.3689,THA
2001,,,49846400115.5783,22.480369975609,67369390010.3304,THA
2000,,,48948235471.5713,21.574927709465,68420838755.6779,THA
1999,,,47480212974.5535,20.4100107185522,67373518063.559,THA
1998,,,49711953857.9723,22.1517868670203,58741978848.8228,THA
1997,,,88813330349.0902,34.6114374637763,79596738967.5523,THA
1996,,,113557010528.497,41.6549461863957,94645519222.498,THA
1995,,,106141489226.856,41.3212778599464,86841566593.8865,THA
1994,,,94879364611.603,39.9997289304408,76467435387.674,THA
1993,,,85073580616.7339,39.0646210454902,66970173304.4756,THA
1992,,,77852081518.9561,39.2552719441424,61042948649.8085,THA
1991,,,73006854162.0279,41.6315883689779,54006066591.4221,THA
1990,,,64790900391.5675,40.3822231692519,48268785054.0345,THA
1989,,,49992855534.9686,34.6192111907302,40096607267.9169,THA
1988,,,40802569819.3785,30.6791112425506,34988989440.1417,THA
1987,,,33458970143.38,27.6379269102345,30364657035.7815,THA
1986,,,28253068576.0379,25.7802866709963,26456771956.2415,THA
1985,,,28448412452.3504,27.1650727563216,24204404449.3702,THA
1984,,,29556782191.361,28.6011107044225,26605455299.2039,THA
1983,,,27916780379.4,28.4626632621508,26067712749.075,THA
1982,,,24367592716.7316,26.941106122815,23260377128.7951,THA
1981,,,24485771073.4695,27.9896517738062,22750132903.1548,THA
1980,,,22989953678.0235,27.772377475865,21174864722.3145,THA
1979,,,22175836108.4543,25.5607449411811,17827992693.0442,THA
1978,,,21329232282.5417,25.2455954569889,15488859712.5309,THA
1977,,,19212594813.7722,25.9286240597972,13326650359.5571,THA
1976,,,15500293735.7199,22.9053387153204,11650187989.2746,THA
1975,,,13709286241.7504,22.8750423144597,10367971421.9821,THA
1974,,,13807000814.5693,23.2919049352413,9331733341.18606,THA
1973,,,13839572340.238,22.4840165429863,7273077748.93127,THA
1972,,,12569623966.7064,22.7107585509935,5654086538.46154,THA
1971,,,12471909393.8875,23.329204617571,5039567307.69231,THA
1970,,,12406766346.7373,23.7415197548898,4961057692.30769,THA
1969,,,10578156650.4448,22.0977573852448,4158846153.84615,THA
1968,,,9430394124.45922,21.7235251984168,3888605769.23077,THA
1967,,,8685853422.72673,21.254263663954,3616875000.0,THA
1966,,,7041767379.65834,18.5450967275144,3204951923.07692,THA
1965,,,5769891998.92846,17.5112465422258,2816057692.30769,THA
1964,,,5304588168.59916,17.9482006646365,2577548076.92308,THA
1963,,,4311915551.54235,16.3871952666458,2394815170.42727,THA
1962,,,3629448331.04709,14.6084607155985,2239080459.77011,THA
1961,,,3071076911.43109,13.0141278554749,2017817118.10964,THA
1960,,,2884950261.88373,12.9194766827712,1856688289.00282,THA
2021,,,,,,TLS
2020,367920037.362796,-33.9279967646421,314032944.554451,16.2662457690134,1082463100.0,TLS
2019,556847105.19857,-4.42142186143757,478542915.508627,22.6774115562545,1098249900.0,TLS
2018,582606600.813099,-0.772994350802094,536361505.300196,32.3347493951863,1042459000.0,TLS
2017,587145200.040417,-13.6088074256263,544303303.897995,32.3093999745112,1010452100.0,TLS
2016,679635484.294243,15.7057570813713,653305384.652625,38.0075044596919,970675000.0,TLS
2015,587382600.0,-5.01723937751309,566380800.0,35.5228881087052,928072300.0,TLS
2014,618409694.717737,7.3196796773519,587551596.262091,41.0665918794981,937692900.0,TLS
2013,576231401.898456,-21.5790705681736,553563902.262947,40.2376648812385,898001900.0,TLS
2012,734792874.903874,-10.0203925514103,703204675.842423,57.5947645165697,812762300.0,TLS
2011,816621560.972804,69.1994876495529,813360856.393286,70.105049685273,708023400.0,TLS
2010,482638317.832377,2.7986002100111,481832514.927816,42.6815643598444,629594300.0,TLS
2009,469498920.069318,75.5259152695908,467512417.456168,48.7177843348525,542049700.0,TLS
2008,267481254.462176,87.2981939690667,265566153.111731,31.1834813252331,477528100.0,TLS
2007,142810375.686992,73.1423410098022,140959375.112261,18.5116159790595,460894000.0,TLS
2006,82481485.957792,-26.7555092211077,80669285.7570585,11.9669214823721,389643700.0,TLS
2005,112611180.828308,-7.93638595507318,110972980.406649,15.6475592039173,425134500.0,TLS
2004,122318879.175604,-32.2741945307266,117850879.192289,16.6587788583747,429424300.0,TLS
2003,180608969.251903,-21.0850914620159,173622669.345241,21.6740060080854,412034600.0,TLS
2002,228865461.036391,3.9769807783957,224267460.403414,27.353539363762,418521400.0,TLS
2001,220111662.526697,10.509380497562,239063657.791002,31.9029162612958,392460500.0,TLS
2000,199179166.090387,,237300758.102259,37.9533348824628,321340000.0,TLS
